Zone,Sub-Registrar-Office,Village,Street Name,YEAR 2012-2017,YEAR 2017-2023,YEAR 2023-2024,Land Classification
Madurai,Madurai South Joint I,Town Suryvey Ward 6,NORTH KRISHNAN KOVIL STREET,3000.0,2010.0,3000.0,Commercial Class I Type - III
Madurai,Madurai South Joint I,Town Suryvey Ward 6,NETHAJI ROAD (DINDUGAL ROAD),9000.0,6030.0,9000.0,Commercial Special Type - II
Madurai,Madurai South Joint I,Town Suryvey Ward 6,TAMILSANGAM ROAD,4500.0,3015.0,4500.0,Commercial Special Type - V
Madurai,Madurai South Joint I,Town Suryvey Ward 6,PECHIAMMAN PADITHURAI,4500.0,3015.0,4500.0,Commercial Special Type - V
Madurai,Madurai South Joint I,Town Suryvey Ward 6,PALLIVASAL STREET,3000.0,2010.0,3000.0,Commercial Class I Type - III
Madurai,Madurai South Joint I,Town Suryvey Ward 6,PACHARISIKARA STREET,3000.0,2010.0,3000.0,Commercial Class I Type - III
Madurai,Madurai South Joint I,Town Suryvey Ward 6,VALAIALKARA STREET,3000.0,2010.0,3000.0,Commercial Class I Type - III
Madurai,Madurai South Joint I,Town Suryvey Ward 6,VADUGA KAVAL BAZAR STREET,3000.0,2010.0,3000.0,Commercial Class I Type - III
Madurai,Madurai South Joint I,Town Suryvey Ward 6,MUNICIPAL LANE,2000.0,1340.0,2000.0,Residential Special Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 6,MELAMASI STREET,10000.0,6700.0,10000.0,Commercial Special Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 6,MELA AVANA MULA STREET,4000.0,2680.0,4000.0,Commercial Special Type - I
